social_network,outbound_post,status,account,account_type,author_name,campaign_name,permalink,scheduledtime,publishedtime,tags,published_date,day_of_week,time_of_day,events_outbound_message,media_format_outbound_message,related_product_outbound_message,msft_learn_product_program_outbound_message,c_641deea526668532c520df4c,msft_learn_content_owner_outbound_message,msft_learn_primary_audience_outbound_message,primary_objective_outbound_message,media_type,permalink_1,account_1,msft_learn_approvers_outbound_message,gdc_impressions_sum,gdc_total_engagements_sum,post_likes_and_reactions_sum,post_comments_sum,post_shares_sum,estimated_clicks_sum,gdc_total_engagement_views_sum,count_of_positive_comments_sum,count_of_neutral_comments_sum,count_of_negative_comments_sum,followers_at_post_time_sum,instagram_business_post_impressions_sum,x_poll_votes_sum,stories_alcance,stories_visitas_perfil,stories_navegacao,stories_seguimentos
LinkedIn,"Flexible learning for professionals: AI-generated podcasts and instant summaries.
Stay ahead with AI Skills Navigator. Convert technical training into podcasts and summaries: anytime, anywhere.
👉 Start learning for free today.",SENT,Microsoft Learn,LINKEDIN_COMPANY,SprinklrSystem ,[Auto Import] (Universal),https://www.linkedin.com/feed/update/urn:li:ugcPost:7404937268836241410,2025-12-11 12:37:02,2025-12-11 12:37:02,,12-11-2025 12:37,Thursday,12:00,, , ,, ,,,,Video,https://www.linkedin.com/feed/update/urn:li:ugcPost:7404937268836241410,Microsoft Learn,,2,17,16,1,0,0,24701,1,0,0,1021354,0,,,,,
LinkedIn,Test,SENT,Microsoft Learn,LINKEDIN_COMPANY,SprinklrSystem ,[Auto Import] (Universal),https://www.linkedin.com/feed/update/urn:li:ugcPost:7445881432637325312,2026-04-03 13:14:31,2026-04-03 13:14:31,,04-03-2026 13:14,Friday,13:00,, , ,, ,,,,Video,https://www.linkedin.com/feed/update/urn:li:ugcPost:7445881432637325312,Microsoft Learn,,3,0,0,0,0,0,0,0,0,0,1118483,0,,,,,
X,"Juggling a busy schedule? AI Skills Navigator makes learning simple with podcasts and summaries.
👇 Begin your journey for free today.",SENT,Microsoft Learn,TWITTER,SprinklrSystem ,[Auto Import] (Universal),https://twitter.com/MicrosoftLearn/status/2000564123248345410,2025-12-15 08:50:30,2025-12-15 08:50:30,,12-15-2025 08:50,Monday,08:00,, , ,, ,,,,Text,https://twitter.com/MicrosoftLearn/status/2000564123248345410,Microsoft Learn,,11,8,7,0,1,0,8,0,0,0,477337,0,,,,,
LinkedIn,"Meet the evolved AI Skills Navigator:
• Personalized skilling playlists that adapt to your goals
• Expert-led sessions for real-world impact
• AI-generated podcasts and instant summaries
• Multimodal training for every learning style
Smarter guidance. More ways to skill.
👇 Claim your free access and start learning today!",SENT,Microsoft Learn,LINKEDIN_COMPANY,SprinklrSystem ,[Auto Import] (Universal),https://www.linkedin.com/feed/update/urn:li:share:7404197317710475264,2025-12-09 11:36:44,2025-12-09 11:36:44,,12-09-2025 11:36,Tuesday,11:00,, , ,, ,,,,Link,https://www.linkedin.com/feed/update/urn:li:share:7404197317710475264,Microsoft Learn,,36,217,215,2,0,0,217,1,1,0,1020280,0,,,,,
X,"Learn faster, your way. AI Skills Navigator turns training into podcasts, summaries, and personalized playlists. 
Claim your free access and start learning today.",SENT,Microsoft Learn,TWITTER,SprinklrSystem ,[Auto Import] (Universal),https://twitter.com/MicrosoftLearn/status/2000569533556478425,2025-12-15 09:12:00,2025-12-15 09:12:00,,12-15-2025 09:12,Monday,09:00,, , ,, ,,,,Text,https://twitter.com/MicrosoftLearn/status/2000569533556478425,Microsoft Learn,,58,15,11,2,0,0,14,1,0,1,477337,0,,,,,
LinkedIn,"Want to deepen your understanding? Boost your Microsoft technical skills with free, on-demand course videos and expert insights. 🔍

#CourseVideosOnShows",SENT,Microsoft Learn,LINKEDIN_COMPANY,SprinklrSystem ,[Auto Import] (Universal),https://www.linkedin.com/feed/update/urn:li:share:7369096485637914625,2025-09-03 15:58:33,2025-09-03 15:58:33,,09-03-2025 15:58,Wednesday,15:00,, , ,, ,,,,Link,https://www.linkedin.com/feed/update/urn:li:share:7369096485637914625,Microsoft Learn,,71,367,363,3,1,0,367,1,2,0,946618,0,,,,,
X,"A fresh look. A sharper experience. A glow-up made with you in mind. 
Step into the evolved AI Skills Navigator. 
Explore more at the AI Skills Navigator page 👇",SENT,Microsoft Learn,TWITTER,SprinklrSystem ,MSFT Learn | Ignite (Universal),https://twitter.com/MicrosoftLearn/status/1991495423366733956,2025-11-20 08:14:43,2025-11-20 08:14:43,,11-20-2025 08:14,Thursday,08:00,, , ,, ,,,,Text,https://twitter.com/MicrosoftLearn/status/1991495423366733956,Microsoft Learn,,234,493,430,4,54,0,190,0,0,0,481522,0,,,,,
X,"NLP → converts human language into structured data. 
Sentiment Analysis → classifies text as positive, negative, or neutral. 

• “I love this product” → 😀 Positive 
• “This is horrible” → 😡 Negative 
• “It’s okay” → 🫤 Neutral ",SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | AON (Universal),https://twitter.com/MicrosoftLearn/status/1996047514345103611,2025-12-02 21:43:05,2025-12-02 21:43:06,,12-02-2025 21:43,Tuesday,21:00,, , ,Microsoft Applied Skills, ,MSFT Learn | Agency (Dojo) created,Developer,,Text,https://twitter.com/MicrosoftLearn/status/1996047514345103611,Microsoft Learn,,84,1,0,1,0,0,1,0,1,0,477471,0,,,,,
X,"For safe links: 
1. Go to Microsoft 365 security & compliance center 
2. Threat policies → safe links 
3. Create/edit policy → Turn ON “apply safe links to URLs”",SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | AON (Universal),https://twitter.com/MicrosoftLearn/status/1996343556907077808,2025-12-03 17:19:27,2025-12-03 17:19:29,,12-03-2025 17:19,Wednesday,17:00,, , ,Other, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://twitter.com/MicrosoftLearn/status/1996343556907077808,Microsoft Learn,,98,2,1,1,0,0,2,0,1,0,477471,0,,,,,
LinkedIn,"AI Skills Navigator is an agentic learning space, bringing together AI-powered skilling experiences and credentials that help individuals build career skills and organizations worldwide accelerate their business.
Explore more and enhance your skilling experience today!",SENT,Microsoft Learn,LINKEDIN_COMPANY,SprinklrSystem ,MSFT Learn | Ignite (Universal),https://www.linkedin.com/feed/update/urn:li:share:7397264450623299584,2025-11-20 08:27:59,2025-11-20 08:27:59,,11-20-2025 08:28,Thursday,08:00,, , ,, ,,,,Link,https://www.linkedin.com/feed/update/urn:li:share:7397264450623299584,Microsoft Learn,,207,494,467,26,1,0,151,5,0,0,1004990,0,,,,,
