social_network,outbound_post,status,account,account_type,author_name,campaign_name,permalink,scheduledtime,publishedtime,tags,published_date,day_of_week,time_of_day,events_outbound_message,media_format_outbound_message,related_product_outbound_message,msft_learn_product_program_outbound_message,c_641deea526668532c520df4c,msft_learn_content_owner_outbound_message,msft_learn_primary_audience_outbound_message,primary_objective_outbound_message,media_type,permalink_1,account_1,msft_learn_approvers_outbound_message,Pillars,CTA,gdc_impressions_sum,gdc_total_engagements_sum,post_likes_and_reactions_sum,post_comments_sum,post_shares_sum,estimated_clicks_sum,gdc_total_engagement_views_sum,count_of_positive_comments_sum,count_of_neutral_comments_sum,count_of_negative_comments_sum,followers_at_post_time_sum,instagram_business_post_impressions_sum,x_poll_votes_sum,stories_alcance,stories_visitas_perfil,stories_navegacao,stories_seguimentos,ER,ER w/o swipes,Week,Boosted
TikTok,"Innovation, but make it a bop. Powered by Copilot. Click now to play your Microsoft Ignite warm up ",SENT,Microsoft Learn,TIKTOK_BUSINESS,SprinklrSystem ,MSFT Learn | Ignite (Universal),https://www.tiktok.com/@microsoftlearn/video/7571946497936280846,2025-11-12 16:01:01,12/11/2025 16:01,,11-12-2025 16:01,Wednesday,16:00,, , ,, ,,,,Video,https://www.tiktok.com/@microsoftlearn/video/7571946497936280846,Microsoft Learn,,,,3169290,4144,3626,190,328,0,1326933,18,35,45,3296,0,,,,,,,,202511-W2,1
TikTok,"A glow-up for innovation is here. Find out more at Microsoft Ignite, November 18–21, 2025.",SENT,Microsoft Learn,TIKTOK_BUSINESS,Emma Casey,MSFT Learn | Ignite (Universal),https://www.tiktok.com/@microsoftlearn/video/7572348451116092686,2025-11-13 17:59:40,13/11/2025 17:59,,11-13-2025 17:59,Thursday,17:00,, , ,Other, ,MSFT Learn | Agency (Dojo) created,IT Pro,,Video,https://www.tiktok.com/@microsoftlearn/video/7572348451116092686,Microsoft Learn,,,,635623,1569,1419,27,123,0,637192,7,16,4,3328,0,,,,,,,,202511-W2,1
TikTok,Your AI glow-up starts here. AI Skills Navigator: smarter learning for every role.,SENT,Microsoft Learn,TIKTOK_BUSINESS,SprinklrSystem ,MSFT Learn | Ignite (Universal),https://www.tiktok.com/@microsoftlearn/video/7574516394667167031,2025-11-19 14:14:55,19/11/2025 14:14,,11-19-2025 14:14,Wednesday,14:00,, , ,, ,,,,Video,https://www.tiktok.com/@microsoftlearn/video/7574516394667167031,Microsoft Learn,,,,628801,1369,1217,13,139,0,281521,1,2,0,3749,0,,,,,,,,202511-W3,1
TikTok,Press play on smarter learning. AI Skills Navigator adapts to you.,SENT,Microsoft Learn,TIKTOK_BUSINESS,SprinklrSystem ,[Auto Import] (Universal),https://www.tiktok.com/@microsoftlearn/video/7574526455728606519,2025-11-19 14:54:30,19/11/2025 14:54,,11-19-2025 14:54,Wednesday,14:00,, , ,, ,,,,Video,https://www.tiktok.com/@microsoftlearn/video/7574526455728606519,Microsoft Learn,,,,351034,599,551,4,44,0,178794,0,0,0,3749,0,,,,,,,,202511-W3,1
TikTok,Save this for your FAQ build! Drop in messages → let Copilot cluster tone and intent.,SENT,Microsoft Learn,TIKTOK_BUSINESS,Emma Casey,MSFT Learn | Business Users (Universal),https://www.tiktok.com/@microsoftlearn/video/7576422289525230861,2025-11-24 17:28:26,24/11/2025 17:28,,11-24-2025 17:28,Monday,17:00,, , ,Copilot, ,MSFT Learn | Microsoft created,Biz User,,Video,https://www.tiktok.com/@microsoftlearn/video/7576422289525230861,Microsoft Learn,,,,594330,1386,1297,10,79,0,595716,5,4,1,4002,0,,,,,,,,202511-W4,1
TikTok,Share this backlog boss move: Ask Copilot for root causes and fixes.,SENT,Microsoft Learn,TIKTOK_BUSINESS,Emma Casey,MSFT Learn | Business Users (Universal),https://www.tiktok.com/@microsoftlearn/video/7577079844723232055,2025-11-26 12:00:12,26/11/2025 12:00,,11-26-2025 12:00,Wednesday,12:00,, , ,Copilot, ,MSFT Learn | Microsoft created,Biz User,,Video,https://www.tiktok.com/@microsoftlearn/video/7577079844723232055,Microsoft Learn,,,,1120880,1633,1450,89,94,0,1122513,11,33,45,4233,0,,,,,,,,202511-W4,1
TikTok,"When your calendar is packed, staying on top of industry trends feels impossible. The Copilot Research Agent helps you gather weekend highlights in seconds ✨",SENT,Microsoft Learn,TIKTOK_BUSINESS,Emma Casey,MSFT Learn | AON (Universal),https://www.tiktok.com/@microsoftlearn/video/7581944169174699277,2025-12-09 14:36:32,09/12/2025 14:36,,12-09-2025 14:36,Tuesday,14:00,, , ,Copilot, ,MSFT Learn | Agency (Dojo) created,Biz User,,Video,https://www.tiktok.com/@microsoftlearn/video/7581944169174699277,Microsoft Learn,,,,1219827,6240,5792,329,119,0,1226067,19,170,140,5019,0,,,,,,,,202512-W2,1
TikTok,Start learning for free today.,SENT,Microsoft Learn,TIKTOK_BUSINESS,SprinklrSystem ,[Auto Import] (Universal),https://www.tiktok.com/@microsoftlearn/video/7582323518684155191,2025-12-10 15:10:28,10/12/2025 15:10,,12-10-2025 15:10,Wednesday,15:00,, , ,, ,,,,Video,https://www.tiktok.com/@microsoftlearn/video/7582323518684155191,Microsoft Learn,,,,115242,92,86,0,6,0,115334,0,0,0,5023,0,,,,,,,,202512-W2,1
TikTok,She said it: It’s the era of AI. Ready to level up?,SENT,Microsoft Learn,TIKTOK_BUSINESS,SprinklrSystem ,[Auto Import] (Universal),https://www.tiktok.com/@microsoftlearn/video/7582981313557253390,2025-12-12 09:42:47,12/12/2025 09:42,,12-12-2025 09:42,Friday,09:00,, , ,, ,,,,Video,https://www.tiktok.com/@microsoftlearn/video/7582981313557253390,Microsoft Learn,,,,2547344,4584,4301,57,226,0,2551928,15,29,13,5224,0,,,,,,,,202512-W2,1
TikTok,Skill playlists made for you. Try AI Skills Navigator free and level up fast.,SENT,Microsoft Learn,TIKTOK_BUSINESS,SprinklrSystem ,[Auto Import] (Universal),https://www.tiktok.com/@microsoftlearn/video/7585204552018693390,2025-12-18 09:27:54,18/12/2025 09:27,,12-18-2025 09:27,Thursday,09:00,, , ,, ,,,,Video,https://www.tiktok.com/@microsoftlearn/video/7585204552018693390,Microsoft Learn,,,,76427,71,67,2,2,0,76498,1,0,1,6344,0,,,,,,,,202512-W3,1
